epoch,train_loss,eval_loss,eval_map
0,1.3624455148248487,1.2366196866485195,0.0113454988574509
1,0.950313303135939,0.8374413633852881,0.11177460800754313
2,0.8174330633965753,0.7036776870284357,0.20328990601782768
3,0.7707051235949677,0.6470340681701507,0.2754446099280052
4,0.7156160774914763,0.6075744340748879,0.32770124625789443
5,0.6827892034653702,0.5900131700784992,0.3629302709394662
6,0.6574190212412926,0.5725310329792278,0.4004752969840766
7,0.6368338225578692,0.5694232191017908,0.4055390798977748
8,0.6150326708462659,0.5624869304623624,0.41922484242407243
9,0.5988554282424722,0.5587738080742507,0.4389489996843264
10,0.5779545107192999,0.5539644687046191,0.4544048080032074
11,0.560650329132832,0.5511139518837866,0.468519484910721
12,0.5528882068016515,0.5475315361153997,0.4719203630113967
13,0.5359459634352716,0.549970488187896,0.4719114010315148
14,0.5240044985515009,0.5512988555438811,0.47751816704893707
15,0.5154118123319731,0.5513727542834309,0.4826979429675783
16,0.4974231853012114,0.5527245362500411,0.48759210619828114
17,0.4842283926323305,0.5510932152752278,0.496994096255723
18,0.4714655240490948,0.5534728207787747,0.4964519721695882
19,0.45832606774070545,0.5588178938437371,0.5083044187749773
20,0.44598780035278135,0.5622552881234888,0.49182140766316546
21,0.4356952214096428,0.5680674866986677,0.5009036731152545
22,0.42478899749409277,0.5739241790056675,0.49557688416194706
23,0.4167824677225788,0.5729819493022731,0.5017095434095948
24,0.40803347111185895,0.5832729050697646,0.497084088549419
25,0.3957136948960481,0.5916509860608817,0.4970399733957467
26,0.38482513536945345,0.5965978886320172,0.4894085903878311
27,0.3729414559687309,0.6048135709047764,0.4917545465401592
28,0.3634909627329332,0.6155086126571742,0.484779206358261
29,0.35692550727236766,0.6212592019206803,0.4834608357993436
30,0.3485414703725085,0.6244239208476384,0.4859254982959041
31,0.3418332392843483,0.6336943147183953,0.48538035673897906
32,0.3417352585236593,0.6347739603428599,0.48542609926717
33,0.33066413444605497,0.6416153679930516,0.4788573062625417
34,0.32641301486338237,0.6447017636617819,0.4809869356019511
35,0.3241159590502975,0.6492980589798135,0.4790283338273819
36,0.3243438095822318,0.6516340735701752,0.4799965033591852
37,0.3214251483374302,0.6514916431896394,0.4807306661851341
38,0.31978676065311457,0.6526912110511546,0.48159279921209913
39,0.3176804787333894,0.6520720732949213,0.48068927597924266
40,0.3188723108591709,0.652206063866243,0.48151259256361584
41,0.32054729076292193,0.653007333536285,0.4828385788616411
42,0.3182969064450342,0.6526529378700375,0.4831555044391917
43,0.3183702961372631,0.653039950344579,0.48121199591064145
44,0.32025663860159476,0.6529915940381824,0.4806214699955416
45,0.32057727721233853,0.6529294424396541,0.48216427044189947
46,0.31284389976929633,0.6532173368202605,0.4830583565343192
47,0.3148951540825877,0.6529114675253798,0.4821720042302528
48,0.31728210007499386,0.6530771264428277,0.4820103132239495
49,0.31727491034141764,0.6535856111730209,0.4812970903483262
